accel_x, accel_y, accel_z, gyros_x, gyros_y, gyros_z
0.948, -0.050, -0.207, 13.123, -0.244, -19.348
0.954, -0.167, -0.129, 1.526, 0.061, -19.775
0.939, -0.134, -0.231, -2.258, 8.972, -16.357
0.927, -0.264, -0.281, -1.709, 6.287, -19.592
0.882, -0.301, -0.285, -1.465, 2.014, -10.010
0.872, -0.330, -0.295, 14.404, 10.925, -8.850
0.868, -0.356, -0.401, 26.306, 11.292, -7.996
0.759, -0.328, -0.444, 10.925, 19.836, 3.967
0.785, -0.282, -0.530, 14.832, 39.001, 16.052
0.713, -0.150, -0.774, 21.118, 44.556, 21.301
0.548, -0.020, -0.855, 2.075, 36.255, 20.203
0.468, 0.021, -0.892, 0.488, 33.691, 18.921
0.375, 0.061, -0.941, 3.662, 33.997, 15.320
0.207, 0.051, -1.030, -8.606, 29.907, 9.399
0.107, 0.019, -1.038, -2.380, 13.123, -0.977
0.086, -0.008, -1.038, -1.282, -4.028, -6.287
0.113, -0.012, -1.001, 1.709, -5.554, -10.010
0.155, -0.006, -1.046, -4.272, -5.005, -11.108
0.241, -0.040, -1.043, -0.854, -29.785, -17.029
0.360, -0.063, -0.908, 0.183, -35.522, -11.780
0.495, -0.087, -0.871, -0.305, -27.893, -5.676
0.575, -0.110, -0.824, -17.822, -27.100, 3.906
0.672, -0.111, -0.717, -9.277, -43.884, 6.104
0.763, -0.103, -0.554, -2.014, -35.706, 5.127
0.826, -0.114, -0.465, -9.888, -30.029, 2.380
0.909, -0.121, -0.388, -10.559, -15.869, 5.005
0.906, -0.100, -0.288, -18.066, -22.034, 6.470
0.927, -0.128, -0.229, -5.127, -13.000, 2.869
0.961, -0.095, -0.174, -8.423, -10.193, 1.587
0.979, -0.056, -0.140, 7.629, -11.597, 4.456
1.011, -0.122, -0.080, 2.136, -21.545, -1.221
0.994, -0.020, -0.068, -19.348, 12.268, 4.028
0.971, -0.011, -0.065, -12.268, 10.315, 6.714
0.944, 0.062, -0.110, 33.264, 11.597, 7.690
0.970, 0.161, -0.257, 11.536, 62.317, 17.517
0.882, 0.224, -0.387, 0.488, 23.438, -12.451
0.895, -0.001, -0.466, -5.676, -6.775, -20.630
0.798, -0.124, -0.438, -37.170, 23.193, -13.977
0.761, -0.263, -0.493, -14.893, 37.598, -18.982
0.620, -0.238, -0.661, 22.949, 41.626, -14.282
0.483, -0.217, -0.821, 11.780, 54.688, -11.292
